epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
319,0.088893,0.088572,0.086490,0.092303,664.6
320,0.088430,0.089180,0.093233,0.091680,663.3
321,0.089661,0.089792,0.087032,0.084324,663.9
322,0.088358,0.088755,0.085051,0.089371,663.4
323,0.088876,0.088692,0.087723,0.092300,664.1
324,0.089360,0.089537,0.088991,0.096075,665.1
325,0.088830,0.089280,0.094950,0.089593,664.9
326,0.088594,0.091163,0.085587,0.089428,660.9
327,0.089438,0.086920,0.080632,0.091849,661.8
328,0.088985,0.088645,0.091460,0.094089,663.6
329,0.088364,0.089037,0.080381,0.083339,663.8
330,0.089499,0.087727,0.092700,0.086318,663.2
331,0.088421,0.090269,0.092357,0.093241,662.8
332,0.089574,0.089611,0.094554,0.085224,664.1
333,0.088767,0.088745,0.087258,0.086149,662.1
334,0.088561,0.089753,0.090511,0.087896,663.8
335,0.088240,0.088269,0.091798,0.090554,662.1
336,0.089255,0.088395,0.084718,0.086610,662.7
337,0.089401,0.088999,0.090296,0.083238,662.5
338,0.088599,0.090452,0.082885,0.090393,663.6
339,0.088876,0.091048,0.089052,0.086659,661.3
340,0.088633,0.090120,0.088863,0.093373,663.2
341,0.088333,0.089299,0.082756,0.084211,664.1
342,0.088938,0.089442,0.093712,0.086027,664.3
343,0.089093,0.089611,0.095418,0.087908,662.9
344,0.088829,0.088043,0.084952,0.086994,662.8
345,0.088997,0.088331,0.084020,0.089977,660.5
346,0.089065,0.089884,0.089943,0.086869,664.6
347,0.088501,0.088844,0.093810,0.092330,664.4
348,0.088595,0.088767,0.085855,0.086479,663.8
349,0.089281,0.090106,0.086155,0.088378,663.2
350,0.088561,0.088947,0.085445,0.089217,662.0
351,0.088212,0.089533,0.095798,0.084123,663.9
352,0.089058,0.088040,0.089197,0.086445,662.6
353,0.088696,0.088755,0.086195,0.092917,663.7
354,0.089256,0.088819,0.089469,0.085644,663.2
355,0.088971,0.088482,0.090446,0.087703,663.6
356,0.088721,0.090272,0.085322,0.092643,663.7
357,0.088956,0.088933,0.089457,0.091420,664.5
358,0.088301,0.088453,0.092596,0.084452,663.2
359,0.088663,0.089094,0.090001,0.094757,663.2
360,0.089042,0.089654,0.091773,0.082191,663.2
361,0.089196,0.087694,0.079396,0.083503,662.7
362,0.088900,0.089006,0.089713,0.088760,663.1
363,0.088670,0.089182,0.090019,0.085348,662.6
364,0.089544,0.088062,0.091154,0.088616,663.3
365,0.088662,0.090486,0.086078,0.088913,662.5
366,0.089145,0.088310,0.087084,0.086358,665.1
367,0.088578,0.088910,0.092294,0.089957,664.5
368,0.088837,0.087895,0.087177,0.086010,662.9
369,0.088285,0.088698,0.085767,0.089897,664.8
370,0.088258,0.087146,0.089366,0.093058,662.9
371,0.088178,0.087492,0.088237,0.084720,665.1
372,0.089007,0.088123,0.085434,0.086349,664.5
373,0.088368,0.088361,0.093036,0.082975,661.2
374,0.088634,0.088351,0.087354,0.086432,661.6
375,0.089075,0.088977,0.089825,0.080944,662.9
376,0.088764,0.089319,0.092561,0.088152,663.1
377,0.088307,0.089012,0.083629,0.084842,663.9
378,0.088239,0.089218,0.090739,0.086860,664.2
379,0.089126,0.089597,0.086340,0.091307,662.3
380,0.089096,0.089665,0.092415,0.080987,664.2
381,0.088826,0.087694,0.088744,0.089092,663.9
382,0.088547,0.088805,0.085219,0.086998,663.6
383,0.088937,0.090432,0.090779,0.088359,664.0
384,0.088592,0.091116,0.091537,0.088700,664.4
385,0.088370,0.090504,0.082692,0.088473,663.5
386,0.089162,0.088969,0.087117,0.089450,663.5
387,0.088417,0.090092,0.084292,0.087051,664.9
388,0.088731,0.089672,0.091447,0.082882,663.5
389,0.088202,0.086495,0.085180,0.085953,662.5
390,0.088170,0.088194,0.085196,0.091917,661.9
391,0.088881,0.088132,0.091803,0.088323,662.8
392,0.088588,0.089628,0.096363,0.089450,663.0
393,0.088416,0.086783,0.092818,0.091363,663.8
394,0.088500,0.088779,0.090181,0.087695,662.9
395,0.088633,0.087573,0.089206,0.089733,663.1
396,0.088781,0.087023,0.089137,0.084929,663.8
