epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
221,0.078334,0.079342,0.078594,0.074726,889.2
222,0.078104,0.077699,0.078876,0.081048,891.1
223,0.077821,0.077642,0.079477,0.079654,888.2
224,0.077745,0.077322,0.077374,0.078238,889.6
225,0.077137,0.077682,0.081485,0.077239,890.4
226,0.078067,0.077404,0.073927,0.070515,887.3
227,0.077702,0.077008,0.081305,0.079028,890.6
228,0.077736,0.078539,0.078890,0.079466,888.3
229,0.077885,0.078267,0.071157,0.075835,889.8
230,0.077135,0.078509,0.077009,0.077678,889.0
231,0.077408,0.077066,0.080039,0.075171,886.9
232,0.077875,0.077612,0.076237,0.077099,888.9
233,0.077264,0.076987,0.079883,0.083644,886.9
234,0.077860,0.079747,0.076340,0.076094,888.7
235,0.077430,0.078267,0.077566,0.076793,888.1
236,0.077218,0.077572,0.081792,0.075420,888.6
237,0.077229,0.078054,0.077348,0.080985,888.5
238,0.077391,0.077624,0.080581,0.075497,889.8
239,0.078002,0.076241,0.082924,0.076381,887.9
240,0.077486,0.076558,0.079252,0.074112,887.1
241,0.077665,0.077055,0.080885,0.076461,890.6
242,0.077526,0.077725,0.074846,0.075739,891.8
243,0.077284,0.078104,0.077935,0.082493,888.4
244,0.077798,0.077440,0.081452,0.080255,889.9
245,0.077423,0.075290,0.079800,0.080143,887.3
246,0.077243,0.077919,0.077664,0.074244,890.0
247,0.077474,0.076308,0.073922,0.076254,888.6
248,0.077222,0.079440,0.083047,0.072156,889.5
249,0.076803,0.077383,0.077847,0.078115,887.3
250,0.076696,0.077363,0.075191,0.081061,887.9
251,0.077120,0.078017,0.075342,0.079026,887.2
252,0.077419,0.078044,0.070021,0.072935,890.5
253,0.076840,0.074975,0.078993,0.076893,888.7
254,0.076961,0.076551,0.078484,0.076520,888.6
255,0.077235,0.077405,0.082344,0.081971,888.5
256,0.076786,0.078087,0.083457,0.077261,887.7
257,0.077397,0.076531,0.080915,0.071015,887.8
258,0.077330,0.077577,0.080983,0.072576,890.3
259,0.076970,0.076501,0.079927,0.075932,888.8
260,0.077114,0.076573,0.076217,0.071950,888.8
261,0.076807,0.076524,0.077834,0.074345,887.8
262,0.076866,0.075645,0.077230,0.069874,888.5
263,0.076610,0.076600,0.082211,0.077283,888.8
264,0.077387,0.076121,0.077463,0.080615,889.7
265,0.076812,0.076969,0.078789,0.079494,888.9
266,0.076982,0.076788,0.077675,0.076896,888.2
267,0.076682,0.076893,0.077463,0.077364,887.3
268,0.076700,0.077646,0.077225,0.077439,888.3
269,0.076542,0.077478,0.078771,0.078321,891.9
270,0.077321,0.078030,0.075983,0.078532,888.5
271,0.076782,0.076487,0.082083,0.080616,889.3
272,0.077137,0.078651,0.071971,0.081948,888.7
273,0.076668,0.076788,0.072479,0.077165,892.6
274,0.076234,0.076437,0.077887,0.077737,888.3
275,0.076636,0.076128,0.070992,0.078992,887.4
276,0.076677,0.078676,0.083568,0.070753,888.4
277,0.076892,0.076398,0.072810,0.079670,887.6
278,0.076148,0.076314,0.083469,0.075490,888.7
279,0.077293,0.077262,0.076901,0.077180,889.4
280,0.076780,0.076035,0.080089,0.077347,888.0
281,0.077022,0.077742,0.076671,0.074808,888.9
282,0.076532,0.075946,0.080208,0.077386,889.0
283,0.077057,0.077502,0.080447,0.073314,890.8
284,0.076497,0.076395,0.082467,0.080135,887.2
285,0.076243,0.076097,0.082123,0.081566,889.3
286,0.076435,0.077635,0.073055,0.077462,887.1
287,0.076752,0.078130,0.075840,0.078568,887.1
288,0.076796,0.075947,0.077344,0.073503,888.9
289,0.076539,0.075886,0.079609,0.076161,888.7
290,0.076839,0.077872,0.072408,0.073765,890.8
291,0.076606,0.076771,0.073135,0.076370,889.0
292,0.076355,0.077501,0.075844,0.074544,887.9
293,0.076377,0.076810,0.073566,0.080022,886.9
294,0.076718,0.075934,0.073624,0.077756,890.8
295,0.076605,0.076473,0.077830,0.076564,887.7
296,0.076140,0.076625,0.073431,0.075270,886.9
297,0.076690,0.077212,0.076717,0.077074,887.4
298,0.076359,0.076943,0.080444,0.079539,888.9
299,0.076748,0.076199,0.077434,0.079684,887.6
300,0.076542,0.075581,0.079321,0.075869,886.9
301,0.076101,0.076341,0.078938,0.074028,887.9
302,0.076307,0.077498,0.077403,0.077190,888.5
303,0.076108,0.076844,0.078345,0.073084,887.8
304,0.076125,0.076107,0.077566,0.079512,887.1
305,0.076131,0.078454,0.074612,0.072529,889.5
306,0.076300,0.076527,0.080330,0.077487,885.9
307,0.076318,0.075460,0.079942,0.072481,888.3
308,0.076617,0.076226,0.074725,0.081124,888.0
309,0.076272,0.074539,0.077882,0.078890,887.9
310,0.076870,0.075505,0.076892,0.070023,887.1
311,0.076278,0.076243,0.078838,0.073726,888.0
312,0.075930,0.074413,0.079234,0.069847,889.0
313,0.076309,0.076156,0.076214,0.073933,890.9
314,0.076373,0.075416,0.078593,0.070192,888.5
315,0.076185,0.076196,0.077338,0.082548,889.1
316,0.076285,0.074543,0.077040,0.074998,890.7
317,0.075859,0.075383,0.074728,0.075038,888.2
318,0.076056,0.077189,0.083550,0.082059,885.9
319,0.076324,0.078462,0.071841,0.072142,888.1
320,0.075706,0.076524,0.074416,0.072386,887.9
321,0.076080,0.076758,0.075907,0.073530,889.1
322,0.075797,0.076606,0.077495,0.078545,886.7
323,0.076491,0.074700,0.078397,0.074804,894.2
324,0.075901,0.076314,0.075459,0.073417,889.5
325,0.075873,0.075811,0.076761,0.075226,889.2
326,0.076612,0.078744,0.079421,0.079814,886.4
327,0.075793,0.075388,0.074863,0.074555,887.4
328,0.076259,0.076346,0.073908,0.076749,889.0
329,0.075504,0.076997,0.072276,0.079929,888.4
330,0.076134,0.075660,0.074204,0.079830,887.6
331,0.076151,0.075962,0.078122,0.078519,887.0
332,0.076072,0.076855,0.077320,0.074167,890.9
333,0.075349,0.075789,0.077783,0.078175,886.3
334,0.075779,0.075152,0.077830,0.074701,889.8
335,0.075948,0.075104,0.079950,0.075406,887.1
336,0.076136,0.075557,0.075576,0.076696,886.6
337,0.075951,0.075939,0.077058,0.080555,887.1
338,0.075759,0.076993,0.077710,0.073649,887.8
339,0.076238,0.074219,0.070366,0.074828,886.5
340,0.075680,0.075910,0.074622,0.074501,886.9
341,0.075810,0.076177,0.071717,0.079689,889.0
342,0.075646,0.077213,0.082204,0.075712,889.7
343,0.075967,0.077016,0.072406,0.076851,887.5
344,0.075583,0.075925,0.080034,0.079180,887.5
345,0.075729,0.075744,0.070174,0.078309,885.8
346,0.075567,0.075886,0.076536,0.076500,890.0
347,0.076039,0.075594,0.077695,0.072210,890.1
348,0.075930,0.074508,0.074560,0.077957,888.3
349,0.075823,0.078408,0.077150,0.074833,887.8
350,0.075361,0.074630,0.078043,0.073827,887.2
351,0.075741,0.075187,0.075514,0.078887,886.8
352,0.075614,0.076794,0.077541,0.072920,888.1
353,0.075825,0.077763,0.074267,0.078063,887.7
354,0.075568,0.076304,0.071754,0.076382,888.0
355,0.075690,0.076676,0.075889,0.079903,888.4
356,0.075477,0.074361,0.071796,0.074811,888.0
357,0.075838,0.076459,0.078299,0.080055,888.6
358,0.075352,0.075729,0.076573,0.079103,887.7
359,0.075914,0.074642,0.072602,0.076310,887.1
360,0.075404,0.075726,0.072692,0.075836,887.2
361,0.075552,0.074764,0.077545,0.077160,887.1
362,0.075503,0.076840,0.076226,0.074264,887.2
