epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
205,0.085956,0.087218,0.079458,0.083003,712.5
206,0.086537,0.085311,0.083979,0.083781,714.3
207,0.086723,0.085434,0.084253,0.089336,712.4
208,0.086761,0.086056,0.088116,0.083404,713.2
209,0.085782,0.085307,0.083726,0.083997,714.8
210,0.086130,0.084942,0.089384,0.082206,712.1
211,0.086423,0.086090,0.086648,0.085776,716.1
212,0.086051,0.088260,0.085132,0.084955,715.2
213,0.086237,0.088550,0.090668,0.085086,713.0
214,0.086186,0.085135,0.083605,0.094994,713.4
215,0.086090,0.085850,0.083123,0.090266,712.2
216,0.086064,0.087234,0.090921,0.086601,712.5
217,0.086253,0.086553,0.088772,0.085408,714.2
218,0.086257,0.087537,0.086748,0.086874,713.4
219,0.085964,0.087332,0.084528,0.086439,712.5
220,0.086605,0.086513,0.081679,0.084935,712.7
221,0.086041,0.085709,0.087085,0.084537,713.2
222,0.086181,0.086683,0.088244,0.086468,713.1
223,0.086545,0.086688,0.084536,0.092120,712.2
224,0.086632,0.085868,0.085225,0.085407,715.0
225,0.086063,0.086960,0.090179,0.084102,714.1
226,0.086254,0.086961,0.086131,0.086184,711.8
227,0.086054,0.086604,0.084251,0.086450,715.3
228,0.086160,0.086497,0.083022,0.083726,713.5
229,0.085655,0.086090,0.085823,0.084879,713.5
230,0.085969,0.085535,0.083570,0.082274,713.9
231,0.085885,0.085635,0.081796,0.086183,711.5
232,0.086175,0.083970,0.080087,0.091299,712.5
233,0.086091,0.086475,0.084896,0.087006,712.4
234,0.086188,0.086156,0.090062,0.083529,714.0
235,0.085681,0.085927,0.090533,0.090101,711.1
236,0.086012,0.085218,0.088104,0.090285,713.9
237,0.086363,0.084286,0.091136,0.077467,712.5
238,0.086144,0.085651,0.085497,0.084751,714.1
239,0.086309,0.085900,0.093986,0.090905,712.6
240,0.085395,0.086346,0.092012,0.087205,713.1
241,0.085727,0.085004,0.084524,0.082609,713.9
242,0.086625,0.085249,0.087885,0.086805,715.6
243,0.085946,0.084529,0.084471,0.083417,714.0
244,0.086103,0.088378,0.084467,0.087812,714.0
245,0.086010,0.087999,0.090747,0.082871,713.1
246,0.085562,0.085466,0.085954,0.078886,714.1
247,0.085856,0.083835,0.085742,0.087981,713.8
248,0.086510,0.086647,0.083682,0.089494,712.5
249,0.085991,0.087728,0.079373,0.080544,712.6
250,0.085301,0.087551,0.087830,0.085646,711.6
251,0.085959,0.086233,0.087203,0.084239,711.2
252,0.086105,0.086061,0.088282,0.078014,714.7
253,0.086004,0.084198,0.088619,0.076685,712.1
254,0.085329,0.084833,0.083572,0.080591,711.9
255,0.086016,0.086809,0.087958,0.082573,712.5
256,0.085928,0.087700,0.087733,0.085271,712.3
257,0.086044,0.087654,0.093622,0.086261,713.2
258,0.085856,0.085084,0.085968,0.090894,714.3
259,0.085596,0.084606,0.080954,0.086869,713.3
260,0.085196,0.086981,0.088946,0.081928,714.0
261,0.085496,0.084918,0.083029,0.083218,711.9
262,0.085338,0.085908,0.093960,0.087136,712.1
263,0.085970,0.085029,0.081824,0.091147,712.2
264,0.085623,0.087591,0.081699,0.086184,714.0
265,0.085930,0.088486,0.081760,0.086343,713.1
266,0.085858,0.085283,0.088787,0.083687,712.8
267,0.086316,0.085634,0.086277,0.086911,712.0
268,0.085596,0.086399,0.086787,0.085488,711.5
269,0.085684,0.085446,0.081514,0.083142,715.5
270,0.086412,0.082590,0.080784,0.087623,713.1
271,0.085841,0.088122,0.083470,0.082091,714.0
272,0.085908,0.087536,0.091082,0.088502,713.1
273,0.085799,0.083982,0.087376,0.091332,712.3
274,0.085326,0.086055,0.084654,0.088759,711.2
275,0.085904,0.086509,0.080658,0.081347,711.6
276,0.085752,0.087375,0.081439,0.086459,712.9
277,0.085486,0.086295,0.085239,0.088868,713.8
278,0.085875,0.085970,0.087924,0.089227,713.3
279,0.085717,0.086560,0.088680,0.085044,713.5
280,0.086279,0.086078,0.089573,0.085470,713.2
281,0.085791,0.085481,0.074251,0.088057,714.0
282,0.085373,0.085898,0.079510,0.084758,712.6
283,0.085738,0.085714,0.081636,0.084913,715.9
284,0.086085,0.086727,0.080578,0.083588,712.2
285,0.085181,0.085734,0.086558,0.086649,712.4
286,0.085975,0.085057,0.083105,0.085189,712.4
287,0.085936,0.086979,0.081220,0.083803,712.4
288,0.085861,0.083962,0.087848,0.083820,713.2
289,0.085717,0.084529,0.086887,0.087551,712.6
290,0.085513,0.084464,0.092959,0.082656,715.7
291,0.085762,0.086752,0.092374,0.084116,713.7
292,0.085417,0.085731,0.087440,0.082551,712.5
293,0.085739,0.087136,0.083028,0.087541,712.1
294,0.085688,0.085644,0.084688,0.081844,713.8
295,0.085285,0.085503,0.086967,0.085308,712.3
296,0.084934,0.086071,0.083189,0.084758,711.5
297,0.085986,0.084076,0.089625,0.087308,712.1
298,0.086093,0.088231,0.084290,0.081543,714.9
299,0.085456,0.084816,0.089758,0.082076,711.1
300,0.085243,0.089022,0.085941,0.086669,711.6
301,0.085260,0.086001,0.086889,0.085523,710.8
302,0.085637,0.085457,0.082385,0.084437,712.8
303,0.085660,0.086085,0.087287,0.093196,713.0
304,0.085060,0.086201,0.081126,0.081779,712.4
305,0.085725,0.087265,0.087822,0.088358,714.2
306,0.085472,0.084244,0.083353,0.091478,711.5
307,0.085458,0.085762,0.081961,0.081974,714.4
308,0.085493,0.085065,0.084951,0.084059,713.7
309,0.086035,0.087538,0.077987,0.085823,712.3
310,0.086262,0.086461,0.088761,0.080297,712.3
311,0.085492,0.086458,0.086169,0.085992,712.3
312,0.086033,0.087896,0.088188,0.080433,712.3
313,0.085435,0.084784,0.083743,0.085368,714.5
314,0.085657,0.083180,0.079193,0.083466,713.6
315,0.084927,0.082417,0.086292,0.084852,713.9
316,0.085563,0.085103,0.087353,0.089430,714.7
317,0.085313,0.085132,0.089026,0.080454,712.8
318,0.085325,0.086055,0.085872,0.081423,710.4
319,0.084902,0.085267,0.085585,0.088022,714.5
320,0.085181,0.087060,0.090065,0.085845,713.9
321,0.085104,0.085763,0.089443,0.087463,712.6
322,0.085708,0.084250,0.088677,0.081632,712.9
323,0.085672,0.083690,0.084508,0.086232,713.3
324,0.084875,0.083332,0.083521,0.086030,714.1
325,0.085243,0.084963,0.087866,0.082143,713.5
326,0.085093,0.085452,0.086791,0.087816,710.7
327,0.085344,0.083874,0.082232,0.085992,711.6
328,0.085614,0.086521,0.084382,0.081716,713.7
329,0.085320,0.084353,0.088679,0.085741,712.4
330,0.085140,0.087290,0.087926,0.085352,713.1
331,0.085667,0.085406,0.085151,0.088041,713.6
332,0.085226,0.087744,0.083657,0.094943,715.2
333,0.085330,0.086296,0.087139,0.081409,712.1
334,0.085301,0.085577,0.085791,0.088522,714.7
335,0.085400,0.084135,0.084055,0.086390,711.0
336,0.085630,0.087710,0.085821,0.088970,713.2
337,0.085287,0.084361,0.092548,0.083888,711.6
338,0.085190,0.085216,0.083227,0.079990,712.3
339,0.085613,0.085934,0.082602,0.074365,710.8
340,0.086036,0.085508,0.085268,0.085659,711.8
341,0.085695,0.085547,0.083583,0.085713,714.2
342,0.085459,0.086177,0.083609,0.088026,714.1
343,0.085513,0.084500,0.088722,0.083714,713.2
344,0.084956,0.084903,0.083850,0.088706,712.5
345,0.084773,0.083578,0.087956,0.085014,711.1
346,0.085466,0.085578,0.078782,0.085983,714.8
347,0.084930,0.083991,0.083122,0.084919,714.3
348,0.085063,0.084584,0.085237,0.087307,715.1
349,0.085343,0.085163,0.079656,0.084482,712.6
350,0.084910,0.087685,0.084039,0.078969,712.8
351,0.085210,0.084736,0.082013,0.082721,713.1
352,0.085517,0.085619,0.088759,0.083611,712.6
353,0.085360,0.085398,0.080468,0.087378,712.6
354,0.084969,0.083781,0.086367,0.088098,713.0
355,0.085302,0.085973,0.082615,0.090619,713.3
356,0.085741,0.086348,0.086229,0.087921,713.4
357,0.085169,0.084669,0.089702,0.087793,713.7
358,0.085089,0.085560,0.086251,0.080138,712.9
359,0.085231,0.085958,0.077002,0.088163,713.9
360,0.084899,0.084892,0.080843,0.076405,712.0
361,0.085087,0.085323,0.087010,0.082916,711.8
362,0.084822,0.084203,0.085853,0.086049,713.1
363,0.085628,0.086048,0.084869,0.083752,713.8
364,0.085341,0.085650,0.090052,0.082955,713.4
365,0.085299,0.085847,0.086920,0.083991,713.2
366,0.085260,0.083599,0.079628,0.078662,715.2
367,0.085592,0.085464,0.084291,0.077438,713.0
368,0.084843,0.086646,0.091735,0.082786,711.3
369,0.084817,0.083505,0.084479,0.081893,713.1
370,0.084771,0.085050,0.081675,0.086859,712.3
371,0.084939,0.083451,0.089924,0.086185,714.2
372,0.084775,0.087393,0.084180,0.091459,714.7
373,0.085388,0.085669,0.087952,0.084670,710.4
374,0.084324,0.084982,0.082732,0.089021,712.0
