# Mass Density (g/cm^3)  Energy (eV/atom)  Total_Atom  Fe  Ge  O  Si  Ta  Ti  Zr
3.299933  -7.584905  720  0  111  480  24  0  105  0
3.299933  -7.584907  720  0  111  480  24  0  105  0
3.299933  -7.584940  720  0  111  480  24  0  105  0
3.299933  -7.584941  720  0  111  480  24  0  105  0
3.299933  -7.584971  720  0  111  480  24  0  105  0
3.299933  -7.584972  720  0  111  480  24  0  105  0
3.299933  -7.585000  720  0  111  480  24  0  105  0
3.299933  -7.585001  720  0  111  480  24  0  105  0
3.299933  -7.585030  720  0  111  480  24  0  105  0
3.299933  -7.585030  720  0  111  480  24  0  105  0
3.299933  -7.585060  720  0  111  480  24  0  105  0
3.299933  -7.585063  720  0  111  480  24  0  105  0
3.299933  -7.585091  720  0  111  480  24  0  105  0
3.299933  -7.585093  720  0  111  480  24  0  105  0
3.299933  -7.585121  720  0  111  480  24  0  105  0
3.299933  -7.585122  720  0  111  480  24  0  105  0
3.299933  -7.585150  720  0  111  480  24  0  105  0
3.299933  -7.585152  720  0  111  480  24  0  105  0
3.299933  -7.585179  720  0  111  480  24  0  105  0
3.299933  -7.585179  720  0  111  480  24  0  105  0
3.299933  -7.585207  720  0  111  480  24  0  105  0
3.299933  -7.585208  720  0  111  480  24  0  105  0
3.299933  -7.585237  720  0  111  480  24  0  105  0
3.299933  -7.585239  720  0  111  480  24  0  105  0
3.299933  -7.585268  720  0  111  480  24  0  105  0
3.299933  -7.585269  720  0  111  480  24  0  105  0
3.299933  -7.585296  720  0  111  480  24  0  105  0
3.299933  -7.585297  720  0  111  480  24  0  105  0
3.299933  -7.585322  720  0  111  480  24  0  105  0
3.299933  -7.585322  720  0  111  480  24  0  105  0
3.299933  -7.585342  720  0  111  480  24  0  105  0
3.299933  -7.585342  720  0  111  480  24  0  105  0
3.299933  -7.585360  720  0  111  480  24  0  105  0
3.299933  -7.585361  720  0  111  480  24  0  105  0
3.299933  -7.585378  720  0  111  480  24  0  105  0
3.299933  -7.585378  720  0  111  480  24  0  105  0
3.299933  -7.585395  720  0  111  480  24  0  105  0
3.299933  -7.585395  720  0  111  480  24  0  105  0
3.299933  -7.585411  720  0  111  480  24  0  105  0
3.299933  -7.585411  720  0  111  480  24  0  105  0
3.299933  -7.585425  720  0  111  480  24  0  105  0
3.299933  -7.585425  720  0  111  480  24  0  105  0
3.299933  -7.585439  720  0  111  480  24  0  105  0
3.299933  -7.585439  720  0  111  480  24  0  105  0
3.299933  -7.585452  720  0  111  480  24  0  105  0
3.299933  -7.585452  720  0  111  480  24  0  105  0
3.299933  -7.585463  720  0  111  480  24  0  105  0
3.299933  -7.585463  720  0  111  480  24  0  105  0
3.299933  -7.585474  720  0  111  480  24  0  105  0
3.299933  -7.585474  720  0  111  480  24  0  105  0
3.299933  -7.585483  720  0  111  480  24  0  105  0
3.299933  -7.585484  720  0  111  480  24  0  105  0
3.299933  -7.585493  720  0  111  480  24  0  105  0
3.299933  -7.585494  720  0  111  480  24  0  105  0
3.299933  -7.585502  720  0  111  480  24  0  105  0
3.299933  -7.585503  720  0  111  480  24  0  105  0
3.299933  -7.585511  720  0  111  480  24  0  105  0
3.299933  -7.585511  720  0  111  480  24  0  105  0
3.299933  -7.585519  720  0  111  480  24  0  105  0
3.299933  -7.585519  720  0  111  480  24  0  105  0
3.299933  -7.585527  720  0  111  480  24  0  105  0
3.299933  -7.585527  720  0  111  480  24  0  105  0
3.299933  -7.585534  720  0  111  480  24  0  105  0
3.299933  -7.585534  720  0  111  480  24  0  105  0
3.299933  -7.585541  720  0  111  480  24  0  105  0
3.299933  -7.585541  720  0  111  480  24  0  105  0
3.299933  -7.585547  720  0  111  480  24  0  105  0
3.299933  -7.585547  720  0  111  480  24  0  105  0
3.299933  -7.585553  720  0  111  480  24  0  105  0
3.299933  -7.585553  720  0  111  480  24  0  105  0
3.299933  -7.585559  720  0  111  480  24  0  105  0
3.299933  -7.585559  720  0  111  480  24  0  105  0
