arm,refine_sigma,target_de,achieved_de,epa_mace,ok,dmin,natoms,fmace_rms,file
g2_min1,0.001,0.036,0.03325999725077633,-6.3620019176179285,1,1.6793445016070232,360,0.5864456008025631,out/g2_min1/dE0.036/r1/GeO_Ge120O240_d3p65_En6p38_20260816n215835_final.vasp
g2_min1,0.001,0.038,0.009467756200333355,-6.3857941586683715,1,1.6604553183797768,360,0.5812688498844804,out/g2_min1/dE0.038/r0/GeO_Ge120O240_d3p65_En6p38_20260816n220112_final.vasp
g2_min1,0.001,0.038,0.022397887905065694,-6.372864026963639,1,1.6707157857686386,360,0.6229865855799274,out/g2_min1/dE0.038/r1/GeO_Ge120O240_d3p65_En6p38_20260816n215959_final.vasp
g2_min1,0.001,0.04,0.023727844502622553,-6.371534070366082,1,1.6834146951745423,360,0.6030331900658592,out/g2_min1/dE0.040/r0/GeO_Ge120O240_d3p65_En6p37_20260816n215959_final.vasp
g2_min1,0.001,0.04,0.017145472978316256,-6.378116441890389,1,1.690014340791846,360,0.5815890174227123,out/g2_min1/dE0.040/r1/GeO_Ge120O240_d3p65_En6p37_20260816n220239_final.vasp
g2_min1,0.001,0.042,0.019072502295115257,-6.37618941257359,1,1.6832108790692972,360,0.5760987038310809,out/g2_min1/dE0.042/r0/GeO_Ge120O240_d3p65_En6p37_20260816n220124_final.vasp
g2_min1,0.001,0.042,0.022101765494710435,-6.373160149373994,1,1.6749061379349863,360,0.6497511455580106,out/g2_min1/dE0.042/r1/GeO_Ge120O240_d3p65_En6p37_20260816n220125_final.vasp
g2_min1,0.001,0.044,0.013665857229717915,-6.381596057638987,1,1.687230079873226,360,0.6215121086080503,out/g2_min1/dE0.044/r0/GeO_Ge120O240_d3p65_En6p37_20260816n220407_final.vasp
g2_min1,0.001,0.044,0.0260388678341803,-6.369223047034525,1,1.6642807871928404,360,0.6744729710183306,out/g2_min1/dE0.044/r1/GeO_Ge120O240_d3p65_En6p37_20260816n220249_final.vasp
g2_min1,0.001,0.046,0.034237834350371976,-6.361024080518333,1,1.6759015394839358,360,0.6558459506917795,out/g2_min1/dE0.046/r0/GeO_Ge120O240_d3p65_En6p37_20260816n220250_final.vasp
